"","ownership_category","ownershipType","locationid","locationodscode","registrationdate","providerid","locationname","providername","providercompanieshousenumber","providercharitynumber"
"62","Independent","Individual","1-10598315280","N82087","2021-03-26","1-8445927013","Gillmoss Medical Centre","Dr Don Jude Mahadanaarachchi","",""
"63","Independent","Individual","1-10598315303","N82676","2021-03-26","1-8445927013","Fir Tree Medical Centre","Dr Don Jude Mahadanaarachchi","",""
"64","Independent","Individual","1-10598315346","N82077","2021-03-26","1-8445927013","Bousfield Surgery","Dr Don Jude Mahadanaarachchi","",""
"65","Independent","Individual","1-10598315416","N82078","2021-03-26","1-8445927013","Bousfield Health Centre","Dr Don Jude Mahadanaarachchi","",""
"66","Independent","Individual","1-10598315576","N82646","2021-03-26","1-8445927013","Dr Jude's Practice - Riverside & Picton","Dr Don Jude Mahadanaarachchi","",""
"67","Independent","Partnership","1-10599179952","P81004","2021-03-26","1-10398168404","Elizabeth Street Surgery","Dr Sanjeev Maharaj, Dr Victor Utomi","",""
"68","Independent","Partnership","1-10637557314","G82702","2021-03-30","1-7264235014","Green Porch Medical Centre","Green Porch Medical Partnership","",""
"69","Independent","Partnership","1-10638426105","J81005","2021-04-07","1-10416812075","Bridport Medical Centre","Ammonite Health Partnership","",""
"70","Corporation","Organisation","1-10645640917","L85048","2021-04-01","1-199810662","Ryalls Park Medical Centre - Yeovil","Symphony Healthcare Services Limited","06633460",""
"71","Independent","Individual","1-10649953088","E85006","2021-04-29","1-9862253074","Waterside Medical Centre","Dr Jagjeet Singh Sandhu","",""
"72","Corporation","Organisation","1-10676537410","F82034","2021-04-22","1-199743528","Victoria Medical Centre","AT Medics Limited","05057581",""
"73","Independent","Partnership","1-1069796641","P84059","2013-11-21","1-199784675","Lime Square Medical Centre","Lime Square Medical Centre","",""
"74","Independent","Partnership","1-10710666017","G82024","2021-04-30","1-199738441","Greensand Health Centre","Greensand Health Centre","",""
"75","Independent","Individual","1-1072186149","B86031","2013-11-28","1-1051789428","Westfield Medical Centre","Dr Prakash Pondichary Chandra Babu","",""
"76","Independent","Partnership","1-10723774318","Y07014","2021-04-14","1-199749774","Shakespeare Road Medical Practice","Bramblys Grange Medical Practice","",""
"77","Independent","Individual","1-10735303424","B83015","2021-04-16","1-10036481258","Tong Medical Practice","Dr Angela Moulson","",""
"78","Independent","Individual","1-10735923236","E87648","2021-04-16","1-10564035335","The Mayfair Medical Centre","Dr Stephen Thomas Boyd","",""
"79","Independent","Individual","1-10736176227","F82670","2021-04-26","1-10201735113","Abbamoor Surgery","Dr Pratheep Suntharamoorthy","",""
"80","Corporation","Organisation","1-10763412282","Y04969","2021-05-06","1-4098603105","Camphill Health Centre","Spirit Healthcare Ltd","06259954",""
"81","Corporation","Organisation","1-10765578039","Y04884","2021-05-06","1-4098603105","Satis House","Spirit Healthcare Ltd","06259954",""
"82","Corporation","Organisation","1-10765578066","Y04882","2021-05-06","1-4098603105","The Chaucer Surgery","Spirit Healthcare Ltd","06259954",""
"83","Independent","Individual","1-10776831441","G81002","2021-04-26","1-10488653495","Grove Road Surgery","Dr Kaliyilil Luke Verghese","",""
"84","Independent","Individual","1-10776831708","P82036","2021-04-28","1-10248110937","Littlelever Health Centre 2","Dr Thiruppathy Subramanian","",""
"85","Independent","Individual","1-10776911601","J82183","2021-04-29","1-10376313713","Mulberry Surgery","Dr Richard Charles Barnes","",""
"86","Independent","Partnership","1-10791371477","M87036","2021-08-20","1-10689757742","Bean Road Medical Practice","Bean Road Medical Practice","",""
"87","Independent","Partnership","1-10795036645","F81674","2021-05-20","1-7656067370","Wyncroft Surgery","Greenwood Surgery","",""
"88","Independent","Individual","1-10808487672","Y00286","2021-06-11","1-10371002647","Ravenscar Surgery","Dr Francesca Clare Hood","",""
"89","Corporation","Organisation","1-10818847806","B85033","2021-05-06","1-10193874871","Lindley Village Surgery","Lindley Village Surgery Ltd","13074092",""
"90","Independent","Partnership","1-10837481075","P85028","2022-03-15","1-10314621273","Block Lane Surgery","Block Lane Surgery","",""
"91","Corporation","Organisation","1-10846738635","F83033","2021-05-07","1-2232201878","Barnsbury Medical Practice","Islington GP Group Limited","07384595",""
"92","Independent","Individual","1-1085565890","C84695","2013-11-22","1-790822131","The Alice Medical Centre","Dr Tolulope Mojisola Atiomo","",""
"93","Independent","Individual","1-10860358892","A84604","2021-05-14","1-10437830729","Glendale Surgery","Dr Saul Nicholas Miller","",""
"94","Corporation","Organisation","1-10864405075","D82106","2021-05-18","1-10604284425","West Pottergate Medical Practice","West Pottergate Medical Practice Limited","12958615",""
"95","Independent","Partnership","1-1086793907","B81081","2013-12-02","1-199694558","New Green Surgery","New Green Surgery","",""
"96","Independent","Individual","1-10872631055","F83680","2021-05-17","1-10455419426","Sobell Medical Centre","Dr Virender Kumar Gupta","",""
"97","Independent","Partnership","1-10878600100","L84052","2021-07-06","1-199765184","Severnside Medical Practice","Severnside Medical Practice","",""
