company_number,company_name,company_type,company_subtype,company_status,date_of_creation,date_of_cessation,sic_codes,is_community_interest_company,has_insolvency_history,governed_by,business_activity,branch_parent_company_name,branch_parent_company_number,registered_office_address,address_premises,address_line_1,address_line_2,address_locality,address_region,address_postal_code,address_country,insolvency_case_count,most_recent_case_type,most_recent_case_number,case_date_1_type,case_date_1_value,case_date_2_type,case_date_2_value,case_date_3_type,case_date_3_value,case_date_4_type,case_date_4_value,case_date_5_type,case_date_5_value,practitioners_count,practitioner_1_name,practitioner_1_role,practitioner_1_appointed_on,practitioner_1_ceased_to_act_on,practitioner_1_address,practitioner_2_name,practitioner_2_role,practitioner_2_appointed_on,practitioner_2_ceased_to_act_on,practitioner_2_address,practitioner_3_name,practitioner_3_role,practitioner_3_appointed_on,practitioner_3_ceased_to_act_on,practitioner_3_address,case_notes,all_case_types,earliest_insolvency_date,latest_insolvency_date
09086757,HINCKLEY & BOSWORTH MEDICAL ALLIANCE LIMITED,ltd,,active,2014-06-16,,86210,False,False,,,,,"Willow View Fields Farm Business Centre, Hinckley Road, Sapcote, Leicestershire, LE9 4LH, United Kingdom",,Willow View Fields Farm Business Centre,Hinckley Road,Sapcote,Leicestershire,LE9 4LH,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10479983,NORTH WEST SURREY INTEGRATED CARE SERVICES (NICS) LTD,ltd,,active,2016-11-15,,86210; 86220; 86900; 96040,False,False,,,,,"Hythe Medical Centre, Rochester Road, Staines-Upon-Thames, TW18 3HN, England",,Hythe Medical Centre,Rochester Road,Staines-Upon-Thames,,TW18 3HN,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10028640,KEY MEDICAL SERVICES LIMITED,ltd,,active,2016-02-26,,86210; 86900,False,False,,,,,"Suite 2, Capability House Wrest Park, Silsoe, Bedford, MK45 4HR, England",,"Suite 2, Capability House Wrest Park",Silsoe,Bedford,,MK45 4HR,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06791240,GLOUCESTER GP CONSORTIUM LIMITED,ltd,,active,2009-01-14,,86210,False,False,,,,,"Quayside House, Quay Street, Gloucester, GL1 2TZ, England",,Quayside House,Quay Street,Gloucester,,GL1 2TZ,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09214266,12 POINT CARE LIMITED,ltd,,active,2014-09-11,,86210,False,False,,,,,"Orbital House 20, Eastern Road, Romford, Essex, RM1 3PJ",,Orbital House 20,Eastern Road,Romford,Essex,RM1 3PJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06509728,DRHC LIMITED,ltd,,dissolved,2008-02-20,2023-06-02,86210,False,True,,,,,"1 Radian Court, Knowlhill, Milton Keynes, MK5 8PJ",,1 Radian Court,Knowlhill,Milton Keynes,,MK5 8PJ,,1,members-voluntary-liquidation,1,wound-up-on,2022-03-24,dissolved-on,2023-06-02,,,,,,,2,Ian Mcculloch,practitioner,2022-03-24,,"1 Radian Court Knowlhill, Milton Keynes, MK5 8PJ",Gareth David Wilcox,practitioner,2022-03-24,,"1 Radian Court, Knowlhill, Milton Keynes, Buckinghamshire, MK5 8PJ",,,,,,,members-voluntary-liquidation,2022-03-24,2023-06-02
06900486,GREENWICH PRIMARY CARE COLLABORATIVE CIC,ltd,community-interest-company,dissolved,2009-05-08,2025-08-01,86210,True,True,,,,,"Centre Block  4th Floor Central Court, Knoll Rise, Orpington, BR6 0JA",,Centre Block  4th Floor Central Court,Knoll Rise,Orpington,,BR6 0JA,,1,creditors-voluntary-liquidation,1,wound-up-on,2019-02-21,dissolved-on,2025-08-01,,,,,,,1,Nedim Patrick Ailyan,practitioner,2019-02-21,,"142/148 Main Road, Sidcup, Kent, DA14 6NZ",,,,,,,,,,,,creditors-voluntary-liquidation,2019-02-21,2025-08-01
06754731,LOCAL HEALTHCARE SOLUTIONS LIMITED,ltd,,dissolved,2008-11-20,2019-11-07,86210,False,True,,,,,"Robert Day And Company Limited The Old Library, The Walk, Winslow, Buckingham, MK18 3AJ",,Robert Day And Company Limited The Old Library,The Walk,Winslow,Buckingham,MK18 3AJ,,1,creditors-voluntary-liquidation,1,wound-up-on,2017-10-19,due-to-be-dissolved-on,2019-11-07,,,,,,,1,Robert Day,practitioner,2017-10-19,,"The Old Library The Walk, Winslow, Buckinghamshire, MK18 3AJ",,,,,,,,,,,,creditors-voluntary-liquidation,2017-10-19,2019-11-07
03960882,OUT OF HOURS WEST LANCASHIRE C.I.C.,private-limited-guarant-nsc,community-interest-company,active,2000-03-27,,86210,True,False,,,,,"10 Tithebarn Street, Upholland, Skelmersdale, WN8 0HG, England",,10 Tithebarn Street,Upholland,Skelmersdale,,WN8 0HG,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06631316,GATEHOUSE (HEALTH) LIMITED,ltd,,dissolved,2008-06-26,2023-08-20,86210,False,True,,,,,"C/O Clarke Bell Limited 3rd Floor The Pinnacle, 73 King Street, Manchester, M2 4NG",,C/O Clarke Bell Limited 3rd Floor The Pinnacle,73 King Street,Manchester,,M2 4NG,,1,members-voluntary-liquidation,1,wound-up-on,2022-04-27,dissolved-on,2023-08-20,,,,,,,2,Toyah Marie Poole,practitioner,2022-04-27,,"3rd Floor The Pinnacle 73 King Street, Manchester, M2 4NG",John Paul Bell,practitioner,2022-04-27,,"3rd Floor The Pinnacle, 73 King Street, Manchester, M2 4NG",,,,,,,members-voluntary-liquidation,2022-04-27,2023-08-20
08091560,THE BARROWFORD SURGERY LIMITED,ltd,,active,2012-05-31,,86210,False,False,,,,,"Barrowford Surgery Ridgeway, Barrowford, Nelson, Lancashire, BB9 8QP",,Barrowford Surgery Ridgeway,Barrowford,Nelson,Lancashire,BB9 8QP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
